timestamp	ground_speed_knots	ground_speed_human
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000		
11000000	0.068	0.125
11000000	0.109	0.201
11000000	0.089	0.166
11000000	0.014	0.026
11000000	0.044	0.081
11000000	0.071	0.131
11000000	0.049	0.091
11000000	0.068	0.126
11000000	0.085	0.157
11000000	0.037	0.068
11000000	0.011	0.020
11000000	0.015	0.027
11000000	0.041	0.076
11000000	0.013	0.024
11000000	0.095	0.177
11000000	0.063	0.117
11000000	0.061	0.112
11000000	0.157	0.290
11000000	0.089	0.165
11000000	0.128	0.237
11000000	0.160	0.297
11000000	0.703	1.302
11000000	1.098	2.033
11000000	1.899	3.517
11000000	5.039	9.332
11000000	9.410	17.427
11000000	10.965	20.307
11000000	8.284	15.342
11000000	10.982	20.338
11000000	15.095	27.955
11000000	19.189	35.538
11000000	21.767	40.313
11000000	18.534	34.325
11000000	15.799	29.259
11000000	14.004	25.936
11000000	13.927	25.792
11000000	12.945	23.975
11000000	13.813	25.582
11000000	15.726	29.125
11000000	20.950	38.800
11000000	27.355	50.661
11000000	31.957	59.184
11000000	34.878	64.593
11000000	33.068	61.242
11000000	30.249	56.020
11000000	27.902	51.675
11000000	25.158	46.592
11000000	23.167	42.905
11000000	21.455	39.734
11000000	18.095	33.512
11000000	16.591	30.727
11000000	15.353	28.433
11000000	15.670	29.020
11000000	19.406	35.941
11000000	19.907	36.868
11000000	19.816	36.699
11000000	22.031	40.801
11000000	19.014	35.215
11000000	15.764	29.195
11000000	11.470	21.242
11000000	6.370	11.798
11000000	0.329	0.609
11000000	0.130	0.240
11000000	0.180	0.333
11000000	0.065	0.120
11000000	0.097	0.179
11000000	0.164	0.303
11000000	0.109	0.201
11000000	0.082	0.152
11000000	0.135	0.251
11000000	0.102	0.189
11000000	0.056	0.104
